"title","description","identifier","source","creator","date","collection_id","collection_title","series_id","series_title","tags","rights","rights_holder","publisher","format","type","filename","featured","file_url","thumbnail","language","file_ext","sort_field","by","mby","modified","duration","created","id"
"All attention on JNU","","160000JNUDI0448","JNU","Surendra",2016,"JNU","JNU Student Movement","SM001","Student Movements ","","Restricted","Surendra","Surendra",".jpg","Born Digital Image","160000JNUDI0448.jpg","Yes","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Comic Archive/Comic Archive/160000JNUDI0448.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0448.jpg","English","jpg",2016,"5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410894,"",1561410894,"5d113d4e366236002a0000eb"
"Anti-national","","160000JNUDI0449","JNU","Debraya",2016,"JNU","JNU Student Movement","SM002","Student Movements ","","Restricted","Debraya","Debraya",".jpg","Born Digital Image","160000JNUDI0449.jpg","Yes","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Comic Archive/Comic Archive/160000JNUDI0449.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0449.jpg","English","jpg",2016,"5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410894,"",1561410894,"5d113d4e366236002a0001fd"
"Stand with JNU","","160000JNUDI0450","JNU","Saeed",2016,"JNU","JNU Student Movement","SM003","Student Movements ","","Restricted","Saeed","Saeed",".jpg","Born Digital Image","160000JNUDI0450.jpg","Yes","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Comic Archive/Comic Archive/160000JNUDI0450.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0450.jpg","English","jpg",2016,"5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410894,"",1561410894,"5d113d4e366236002a000090"
"Free speech","","160000JNUDI0451","JNU","Nituparna Rajbongshi",2016,"JNU","JNU Student Movement","SM004","Student Movements ","","Restricted","Nituparna Rajbongshi","Nituparna Rajbongshi",".jpg","Born Digital Image","160000JNUDI0451.jpg","","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Comic Archive/Comic Archive/160000JNUDI0451.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0451.jpg","English","jpg",2016,"5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410894,"",1561410894,"5d113d4e366236002a0000b7"
"Extremely sorry","","160000JNUDI0452","JNU","Debraya",2016,"JNU","JNU Student Movement","SM005","Student Movements ","","Restricted","Debraya","Debraya",".jpg","Born Digital Image","160000JNUDI0452.jpg","Yes","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Comic Archive/Comic Archive/160000JNUDI0452.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0452.jpg","English","jpg",2016,"5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410894,"",1561410894,"5d113d4e366236002a00035f"
"Keys to freedom","","160000JNUDI0453","JNU","",2016,"JNU","JNU Student Movement","SM006","Student Movements ","","Restricted","","",".jpg","Born Digital Image","160000JNUDI0453.jpg","","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Comic Archive/Comic Archive/160000JNUDI0453.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0453.jpg","English","jpg",2016,"5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410894,"",1561410894,"5d113d4e366236002a0000bd"
"Azaadi slogan","","160000JNUDI0454","JNU","R Prasad",2016,"JNU","JNU Student Movement","SM007","Student Movements ","","Restricted","R Prasad","R Prasad",".jpg","Born Digital Image","160000JNUDI0454.jpg","","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Comic Archive/Comic Archive/160000JNUDI0454.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0454.jpg","English","jpg",2016,"5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410894,"",1561410894,"5d113d4e366236002a0001c1"
"Our dreams will haunt you","","160000JNUSI0455","Jyothidas Kelambath Vadakkina","Jyothidas Kelambath Vadakkina",2016,"JNU","JNU Student Movement","SM001","Student Movements ","","Restricted","Jyothidas Kelambath Vadakkina","Jyothidas Kelambath Vadakkina",".JPG","Scanned Image","160000JNUSI0455.jpg","Yes","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Comic Archive/Free students- Jyothidas-Comic/160000JNUSI0455.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUSI0455.jpg","English","jpg",2016,"5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410894,"",1561410894,"5d113d4e366236002a000137"
"The JNU community is with me","","160000JNUSI0456","Jyothidas Kelambath Vadakkina","Jyothidas Kelambath Vadakkina",2016,"JNU","JNU Student Movement","SM002","Student Movements ","","Restricted","Jyothidas Kelambath Vadakkina","Jyothidas Kelambath Vadakkina",".JPG","Scanned Image","160000JNUSI0456.jpg","Yes","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Comic Archive/Free students- Jyothidas-Comic/160000JNUSI0456.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUSI0456.jpg","English; Hindi","jpg",2016,"5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410894,"",1561410894,"5d113d4e366236002a0001bf"
"Sedition kahe ko","","160000JNUSI0457","Jyothidas Kelambath Vadakkina","Jyothidas Kelambath Vadakkina",2016,"JNU","JNU Student Movement","SM003","Student Movements ","","Restricted","Jyothidas Kelambath Vadakkina","Jyothidas Kelambath Vadakkina",".JPG","Scanned Image","160000JNUSI0457.jpg","Yes","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Comic Archive/Free students- Jyothidas-Comic/160000JNUSI0457.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUSI0457.jpg","English; Hindi","jpg",2016,"5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410894,"",1561410894,"5d113d4e366236002a0000c9"
