"title","description","identifier","source","creator","date","collection_id","collection_title","series_id","series_title","tags","rights","rights_holder","publisher","format","type","filename","featured","file_url","thumbnail","language","file_ext","sort_field","by","mby","modified","duration","created","id"
"ABVP pamphlet","","160000JNUSI0213","Akhil Bhartiya Vidyarthi Parishad","Akhil Bhartiya Vidyarthi Parishad","25/2/16","JNU","JNU Student Movement","SM001","Student Movements ","Akhil Bhartiya Vidyarthi Parishad; ABVP; ABVP pamphlet","Public Domain","Public domain","Akhil Bhartiya Vidyarthi Parishad",".PDF","Scanned Image","160000JNUSI0213.pdf","Yes","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Pamphlet Archive/ABVP/160000JNUSI0213.pdf","http://campuscollection.openrun.net/Thumbnails/160000JNUSI0213.pdf.jpg","English","pdf","2016-2-25","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410819,"",1561410819,"5d113d03366236002700015b"
"ABVP pamphlet","","160000JNUSI0214","Akhil Bhartiya Vidyarthi Parishad","Akhil Bhartiya Vidyarthi Parishad","09/03/16","JNU","JNU Student Movement","SM001","Student Movements ","Akhil Bhartiya Vidyarthi Parishad; ABVP; ABVP pamphlet","Public Domain","Public domain","Akhil Bhartiya Vidyarthi Parishad",".PDF","Scanned Image","160000JNUSI0214.pdf","Yes","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Pamphlet Archive/ABVP/160000JNUSI0214.pdf","http://campuscollection.openrun.net/Thumbnails/160000JNUSI0214.pdf.jpg","English","pdf","2016-03-09","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410819,"",1561410819,"5d113d0336623600270000d6"
"ABVP pamphlet","","160000JNUSI0215","Akhil Bhartiya Vidyarthi Parishad","Akhil Bhartiya Vidyarthi Parishad","03/06/16","JNU","JNU Student Movement","SM001","Student Movements ","Akhil Bhartiya Vidyarthi Parishad; ABVP; ABVP pamphlet","Public Domain","Public domain","Akhil Bhartiya Vidyarthi Parishad",".PDF","Scanned Image","160000JNUSI0215.pdf","Yes","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Pamphlet Archive/ABVP/160000JNUSI0215.pdf","http://campuscollection.openrun.net/Thumbnails/160000JNUSI0215.pdf.jpg","English","pdf","2016-06-03","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410819,"",1561410819,"5d113d033662360027000064"
"ABVP pamphlet","","160000JNUSI0216","Akhil Bhartiya Vidyarthi Parishad","Akhil Bhartiya Vidyarthi Parishad","16/02/16","JNU","JNU Student Movement","SM001","Student Movements ","Akhil Bhartiya Vidyarthi Parishad; ABVP; ABVP pamphlet","Public Domain","Public domain","Akhil Bhartiya Vidyarthi Parishad",".PDF","Scanned Image","160000JNUSI0216.pdf","Yes","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Pamphlet Archive/ABVP/160000JNUSI0216.pdf","http://campuscollection.openrun.net/Thumbnails/160000JNUSI0216.pdf.jpg","English","pdf","2016-02-16","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410819,"",1561410819,"5d113d0336623600270001bf"
"ABVP pamphlet","","160000JNUSI0217","Akhil Bhartiya Vidyarthi Parishad","Akhil Bhartiya Vidyarthi Parishad","12/02/16","JNU","JNU Student Movement","SM001","Student Movements ","Akhil Bhartiya Vidyarthi Parishad; ABVP; ABVP pamphlet","Public Domain","Public domain","Akhil Bhartiya Vidyarthi Parishad",".PDF","Scanned Image","160000JNUSI0217.pdf","Yes","http://campuscollection.openrun.net/samim/Pamphlets and Posters Gayatri Balusha/Pamphlet Archive/ABVP/160000JNUSI0217.pdf","http://campuscollection.openrun.net/Thumbnails/160000JNUSI0217.pdf.jpg","English","pdf","2016-02-12","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410819,"",1561410819,"5d113d0336623600270000d7"
"AISA pamphlet","","16000JNUSI0218","All India Students' Association","All India Students' Association","24/02/16","JNU","JNU Student Movement","SM001","Student Movements ","All India Students' Association; AISA; AISA pamphlet","Public Domain","Public Domain","All India Students' Association",".PDF","Scanned Image","16000JNUSI0218.pdf","Yes","","","English","","2016-02-24","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410819,"",1561410819,"5d113d0336623600270001b0"
"AISF pamphlet","","16000JNUSI0219","All India Students' Association","All India Students' Association","01/03/16","JNU","JNU Student Movement","SM001","Student Movements ","All India Students' Association; AISA; AISA pamphlet","Public Domain","Public Domain","All India Students' Association",".PDF","Scanned Image","16000JNUSI0219.pdf","","","","English; Hindi","","2016-03-01","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410819,"",1561410819,"5d113d0336623600270002a0"
"AISF pamphlet","","16000JNUSI0220","All India Students' Association","All India Students' Association","01/03/16","JNU","JNU Student Movement","SM001","Student Movements ","All India Students' Association; AISA; AISA pamphlet","Public Domain","Public Domain","All India Students' Association",".PDF","Scanned Image","16000JNUSI0220.pdf","","","","English","","2016-03-01","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410819,"",1561410819,"5d113d03366236002700003e"
"AISF pamphlet","","16000JNUSI0221","All India Students' Association","All India Students' Association","22/02/16","JNU","JNU Student Movement","SM001","Student Movements ","All India Students' Association; AISA; AISA pamphlet","Public Domain","Public Domain","All India Students' Association",".PDF","Scanned Image","16000JNUSI0221.pdf","Yes","","","English","","2016-02-22","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410819,"",1561410819,"5d113d03366236002700013e"
"AISF pamphlet","","16000JNUSI0222","All India Students' Association","All India Students' Association","11/02/16","JNU","JNU Student Movement","SM001","Student Movements ","All India Students' Association; AISA; AISA pamphlet","Public Domain","Public Domain","All India Students' Association",".PDF","Scanned Image","16000JNUSI0222.pdf","","","","English; Hindi","","2016-02-11","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561410819,"",1561410819,"5d113d033662360027000384"
