"title","description","identifier","source","creator","date","collection_id","collection_title","series_id","series_title","tags","rights","rights_holder","publisher","format","type","filename","featured","file_url","thumbnail","language","file_ext","sort_field","by","mby","modified","duration","created","id"
"SFI poster","","160000JNUDI0174","Students' Federation of India","Students' Federation of India","01/05/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0174.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0174.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0174.jpg","English","jpg","2016-05-01","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c0002cf"
"SFI poster","","160000JNUDI0175","Students' Federation of India","Students' Federation of India","23/05/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0175.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0175.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0175.jpg","English","jpg","2016-05-23","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c00026f"
"SFI poster","","160000JNUDI0176","Students' Federation of India","Students' Federation of India","05/06/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0176.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0176.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0176.jpg","English","jpg","2016-06-05","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c000154"
"SFI poster","","160000JNUDI0177","Students' Federation of India","Students' Federation of India","07/06/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0177.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0177.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0177.jpg","English","jpg","2016-06-07","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c00009f"
"SFI poster","","160000JNUDI0178","Students' Federation of India","Students' Federation of India","09/06/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0178.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0178.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0178.jpg","English","jpg","2016-06-09","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c000093"
"SFI poster","","160000JNUDI0179","Students' Federation of India","Students' Federation of India","13/06/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0179.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0179.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0179.jpg","English","jpg","2016-06-13","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c000318"
"SFI poster","","160000JNUDI0180","Students' Federation of India","Students' Federation of India","13/06/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0180.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0180.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0180.jpg","English","jpg","2016-06-13","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c0003e0"
"SFI poster","","160000JNUDI0181","Students' Federation of India","Students' Federation of India","15/06/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0181.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0181.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0181.jpg","English","jpg","2016-06-15","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c00021a"
"SFI poster","","160000JNUDI0182","Students' Federation of India","Students' Federation of India","28/06/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0182.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0182.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0182.jpg","English","jpg","2016-06-28","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c000282"
"SFI poster","","160000JNUDI0183","Students' Federation of India","Students' Federation of India","30/06/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0183.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0183.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0183.jpg","English","jpg","2016-06-30","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c0001bb"
"SFI poster","","160000JNUDI0184","Students' Federation of India","Students' Federation of India","16/07/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0184.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0184.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0184.jpg","English","jpg","2016-07-16","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c000227"
"SFI poster","","160000JNUDI0185","Students' Federation of India","Students' Federation of India","23/07/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0185.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0185.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0185.jpg","English","jpg","2016-07-23","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c0003c7"
"SFI poster","","160000JNUDI0186","Students' Federation of India","Students' Federation of India","25/07/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0186.jpg","Yes","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0186.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0186.jpg","English","jpg","2016-07-25","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c0003a9"
"SFI poster","","160000JNUDI0187","Students' Federation of India","Students' Federation of India","30/07/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0187.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0187.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0187.jpg","English","jpg","2016-07-30","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c0000ff"
"SFI poster","","160000JNUDI0188","Students' Federation of India","Students' Federation of India","30/07/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0188.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0188.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0188.jpg","English","jpg","2016-07-30","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c000029"
"SFI poster","","160000JNUDI0189","Students' Federation of India","Students' Federation of India","01/08/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0189.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0189.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0189.jpg","English","jpg","2016-08-01","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c000288"
"SFI poster","","160000JNUDI0190","Students' Federation of India","Students' Federation of India","01/08/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0190.jpg","","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0190.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0190.jpg","English","jpg","2016-08-01","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c000298"
"SFI poster","","160000JNUDI0191","Students' Federation of India","Students' Federation of India","02/08/16","JNU","JNU Student Movement","SM001","Student Movements ","Students' Federation of India; SFI; SFI Poster","Images may only be reproduced with permission from Merian-Tagore International Centre of Advanced Studies; University of Gottingen.","Merian-Tagore International Centre of Advanced Studies","Merian-Tagore International Centre of Advanced Studies",".JPG","Born Digital Image","160000JNUDI0191.jpg","Yes","http://campuscollection.openrun.net/samim/Posters and Pamphlets_PZDasgupta/SFI/2016/160000JNUDI0191.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160000JNUDI0191.jpg","English","jpg","2016-08-02","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561409142,"",1561409142,"5d113676366236002c0002ea"
