"title","description","identifier","source","creator","date","collection_id","collection_title","series_id","series_title","tags","rights","rights_holder","publisher","format","type","filename","file_url","thumbnail","language","file_ext","featured","sort_field","by","mby","modified","created","id"
"Raja Vemula's\, brother of Rohith\, SC caste certificate","Raja Vemula's\, brother of Rohith\, SC caste certificate","070205HCUSM0001","University of Hyderabad","Mandal Revenue Officer\, Guntur","2007-05-02","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","070205HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/070205HCUSM0001.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_070205HCUSM0001.jpg","English","jpg","pdf","2007-05-02","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def3662360027000063"
"Rohith Vemula's caste certificate","Rohith Vemula's caste certificate","070519HCUSM0001","University of Hyderabad","Mandal Revenue Officer\, Guntur","2007-05-07","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","070519HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/070519HCUSM0001.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_070519HCUSM0001.jpg","English","jpg","pdf","2007-05-07","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def3662360027000026"
"PhD Research Scholar Senthil\, who committed suicide at University of Hyderabad in 2008\, was one of the first Dalit institutional deaths that mobilized student movements across the country. Here is his father's letter to the VC\, University of Hyderabad\, on 05.04.2008","PhD Research Scholar Senthil\, who committed suicide at University of Hyderabad in 2008\, was one of the first Dalit institutional deaths that mobilized student movements across the country. Here is his father's letter to the VC\, University of Hyderabad\, on 05.04.2008","080405HCUSM0001","University of Hyderabad","Palanichamy","2008-05-04","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","jpg","Scanned Manuscript","080405HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/080405HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/080405HCUSM0001.pdf.jpg","English","pdf","jpg","2008-05-04","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def36623600270000db"
"University Grants Commission guidelines against caste discrimination in university spaces --- this was in response to increase in suicides in higher educational institutes particularly of marginalized students. Senthil's death and the students' movement behind it was the catalyst as the report states.","University Grants Commission guidelines against caste discrimination in University Spaces --- this was in response to increase in suicides in higher educational institutes particularly of marginalized students. Senthil's death and the students' movement behind it was the catalyst as the report states.","120427HCUSM0001","University of Hyderabad","University Grants Commission","2012-04-27","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","120427HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/120427HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/120427HCUSM0001.pdf.jpg","English","pdf","pdf","2012-04-27","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002700025d"
"Andhra Pradesh high court suo moto order on student suicides in Hyderabad --- this was in response to news paper articles that appeared in Hyderabad that highlighted student suicides","Andhra Pradesh high court suo moto order on student suicides in Hyderabad --- this was in response to news paper articles that appeared in Hyderabad that highlighted student suicides","130715HCUSM0001","University of Hyderabad","High Court of Andhra Pradesh","2013-07-15","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","jpg","Scanned Manuscript","130715HCUSM0001","","","English","","jpg","2013-07-15","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def36623600270002e8"
"Rohith Vemula's Facebook posts from 1st August 2015 to 6th January 2016","Rohith Vemula's facebook posts from 1st August 2015 to 6th January 2016","150000HCUSM0001","University of Hyderabad","","2016-01-06","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","jpg","Scanned Manuscript","150000HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/150000HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/150000HCUSM0001.pdf.jpg","English","pdf","jpg","2016-01-06","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002700004e"
"Student suspensions and related correspondence","Doc 1. University of Hyderabad Registrar's letter seeking information regarding suspension on 5th January 2016\nDoc 2. Letter by MHRD\, Govt. of India\, to University of Hyderabad administration seeking action\nDoc 3. Letter by Minister of State Dattatreya to Ms. Smriti Irani\, MP\, MHRD on 17th August 2015\nDoc 4. Counter-affidavit filed by University authorities at AP High Court on 28th November 2015\nDoc 5. Report of the sub-committee of the executive council that upholds suspension of Dalit research scholars on 24th November 2015\nDoc 6. Letter by Prof. Y.A. Sudhakar Reddy to uphold the decision by the sub-committee\nDoc 7. Proctoral board letter to Dontha Prashanth\, one of the suspended students on 9th September 2015\nDoc 8. Rohith Vemula's letter to the vice chancellor on 18th December 2015 requesting long rope and poison","150000HCUSM0002","University of Hyderabad","","2016-01-05","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","jpg","Scanned Manuscript","150000HCUSM0002","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/150000HCUSM0002.pdf","http://campuscollection.openrun.net/Thumbnails/150000HCUSM0002.pdf.jpg","English","pdf","jpg","2016-01-05","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002700037d"
"Police records from Gachibowli police station - Susheel's (the ABVP student leader) police complaint against Ambedkar Students Association leader Prashanth","Police records from Gachibowli police station - Susheel's (the ABVP student leader) police complaint against Ambedkar Students Association leader Prashanth","150726HCUSM0001","Gachibowli Police Station","Gachibowli Police Station","2015-07-26","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","150726HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/150726HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/150726HCUSM0001.pdf.jpg","English","pdf","pdf","2015-07-26","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002700030a"
"ABVP's Sushil Kumar's response to ASA's poster on capital punishment and apology","Doc 1. Poster against capital punishment by ASA 29th July 2015\nDoc 2. Susheel Kumar's (ABVP leader) facebook post against ASA poster\nDoc 3. Susheel's apology to ASA","150729HCUSM0001","University of Hyderabad","Susheel Kumar","2015-07-29","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","150729HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/150729HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/150729HCUSM0001.pdf.jpg","English","pdf","pdf","2015-07-29","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def36623600270000aa"
"Archana Hospital report on Susheel Kumar's injuries on 4th August 2015","Archana Hospital report on Susheel Kumar's injuries on 4th August 2015","150804HCUSM0001","University of Hyderabad","Dr. Chenna Reddy\, Archana Hospital","2015-04-08","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","jpg","Scanned Manuscript","150804HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/150804HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/150804HCUSM0001.pdf.jpg","English","pdf","jpg","2015-04-08","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def36623600270003e4"
